Principal Component 1,Principal Component 2,Principal Component 3,Principal Component 4,Principal Component 5,Principal Component 6,Principal Component 7,Principal Component 8,Principal Component 9,comprar
1.3219152571765904,-0.22295044931403274,1.5998625931654538,-0.8850143728392831,0.646617068789047,-0.7002077735712786,0.3180306081912963,-0.7518093355717974,0.26998397205683017,1
1.1478777495750008,1.7169672977108534,0.39572194049968384,-0.44795996251040104,-0.6878053470400257,-0.23196888779068045,1.5424874431204425,0.22179853846896982,0.43842516208208765,0
0.09036863862833368,1.8360662733462894,1.3593816599607997,0.33750498175650767,0.7423867299028928,0.5930296066943586,-1.5404950162440982,0.6681195824456654,0.15346276006498624,1
3.4558982965547425,-0.07827948464426068,-0.2023818644162696,-1.5735837860697073,-0.06855138146748939,-0.0519450188990677,0.9094091266573913,0.6844857192734737,-0.1290452102458359,0
0.9169330510144363,-1.1846762701496893,0.19003578429484835,0.11780370359512941,-0.1477525582129042,-0.6197497729697267,-0.4504186176505095,0.19434149308549087,0.6874521572531613,1
0.161675597085211,1.5876980327636798,0.42192444157463577,-1.8812902525781698,-0.15643066722877877,-1.0250223721226246,0.5609321815571993,-1.0474287588315176,0.16351926211153237,1
1.3292969254227638,0.6198303365360291,-1.829433395996462,0.39954443698469133,0.035829562509902976,-0.3509271946044527,-0.018704149826261868,0.142382883034787,0.03290747852340722,1
2.729157964377404,-0.7701553967948565,2.2733862998291694,0.27145944767424124,0.30329228991824675,0.4191198265227614,0.28330810303979725,0.05739099240020843,0.020380468953701856,0
1.4090557215034298,-0.8625944408512527,-0.02155287869232885,0.27971133128172976,1.0806353462865839,-0.7057756432583945,-0.8807265094658867,0.005343412125011758,0.026372571755877143,1
0.41468480857892787,1.4554381872164757,-2.080681803465622,-0.5496144235485475,0.26501836511661425,0.259259368541432,-0.638690697193047,0.38838492763455146,0.4245815665542084,1
3.1370388856796096,-1.1305776233827443,-2.073323075653358,0.004957003870333088,0.19604114758873933,-0.09117846063464748,1.124159832261511,-0.3219795301756198,0.16944286447944554,0
0.9936482975615315,-0.024360444174918672,0.2251894378252593,-0.959765191438796,-0.21611839958619175,1.567492554393484,-0.6334540243800476,-0.4924367162128711,-0.33886774989425905,0
0.7428191701684365,2.2893414751085084,-0.23772926849613488,-1.3962618588422777,-1.8048145103145983,-0.05585927122981891,0.1769063872790994,-0.5845558317998665,-0.43817212735692823,1
0.19197543133229242,1.983529211793922,-0.17369881113053545,-0.409987428456317,-0.6071027458148625,-1.5033063421562043,-0.5905538354690707,-0.0924686543886388,-0.15804444024990644,1
1.3683748797661024,1.7327100526272898,-1.3606453485799257,0.6817836937295199,-1.1209586581682058,0.733534996340046,1.0160159766186403,-0.03919020933791354,0.5884460047472704,0
-0.2385505650621167,0.024426478741887435,0.5309249154568918,1.0327194128375337,-0.7287690516731269,0.9616414525416173,-1.623755289590183,-0.1895779158865693,0.513442782201914,1
